timestamp,timestring,K9_D
1471564800000,2016-08-19,21.30563
1471824000000,2016-08-22,18.64821
1471910400000,2016-08-23,22.15437
1471996800000,2016-08-24,21.71402
1472083200000,2016-08-25,28.36489
1472169600000,2016-08-26,29.516
1472428800000,2016-08-29,25.23287
1472515200000,2016-08-30,25.15527
1472601600000,2016-08-31,33.43681
1472688000000,2016-09-01,34.19595
1472774400000,2016-09-02,24.55173
1473033600000,2016-09-05,20.07154
1473120000000,2016-09-06,15.85013
1473206400000,2016-09-07,11.8013
1473292800000,2016-09-08,21.44778
1473379200000,2016-09-09,24.17506
1473465600000,2016-09-10,18.58581
1473638400000,2016-09-12,16.09424
1473724800000,2016-09-13,10.72949
1473811200000,2016-09-14,7.152995
1474243200000,2016-09-19,6.620487
1474329600000,2016-09-20,11.8211
1474416000000,2016-09-21,18.99182
1474502400000,2016-09-22,34.88346
1474588800000,2016-09-23,41.77417
1474848000000,2016-09-26,42.66425
1475107200000,2016-09-29,48.81318
1475193600000,2016-09-30,51.29217
1475452800000,2016-10-03,55.02814
1475539200000,2016-10-04,50.97113
1475625600000,2016-10-05,45.09183
1475712000000,2016-10-06,57.33403
1475798400000,2016-10-07,54.8893
1476144000000,2016-10-11,44.52937
1476230400000,2016-10-12,39.21008
1476316800000,2016-10-13,32.48928
1476403200000,2016-10-14,22.66961
1476662400000,2016-10-17,19.15345
1476748800000,2016-10-18,15.79927
1476835200000,2016-10-19,18.61365
1476921600000,2016-10-20,25.54041
1477008000000,2016-10-21,37.61517
1477267200000,2016-10-24,43.70422
1477353600000,2016-10-25,46.78321
1477440000000,2016-10-26,49.81625
1477526400000,2016-10-27,51.83827
1477612800000,2016-10-28,47.69016
1477872000000,2016-10-31,43.91466
1477958400000,2016-11-01,32.60977
1478044800000,2016-11-02,22.59455
1478131200000,2016-11-03,20.89636
1478217600000,2016-11-04,19.76423
1478476800000,2016-11-07,13.17616
1478563200000,2016-11-08,11.10968
1478649600000,2016-11-09,7.971427
1478736000000,2016-11-10,15.65911
1478822400000,2016-11-11,17.33596
1479081600000,2016-11-14,20.22397
1479168000000,2016-11-15,20.98264
1479254400000,2016-11-16,22.06923
1479340800000,2016-11-17,22.00449
1479427200000,2016-11-18,23.00301
1479686400000,2016-11-21,23.66868
1479772800000,2016-11-22,20.12694
1479859200000,2016-11-23,31.36671
1479945600000,2016-11-24,37.5778
1480032000000,2016-11-25,48.38523
1480291200000,2016-11-28,56.49921
1480377600000,2016-11-29,52.81765
1480464000000,2016-11-30,62.98956
1480550400000,2016-12-01,62.62794
1480636800000,2016-12-02,58.41863
1480896000000,2016-12-05,58.94574
1480982400000,2016-12-06,66.38047
1481068800000,2016-12-07,75.50364
1481155200000,2016-12-08,81.9147
1481241600000,2016-12-09,82.67999
1481500800000,2016-12-12,81.78666
1481587200000,2016-12-13,78.13554
1481673600000,2016-12-14,68.75702
1481760000000,2016-12-15,63.89356
1481846400000,2016-12-16,68.68266
1482105600000,2016-12-19,72.10423
1482192000000,2016-12-20,61.79499
1482278400000,2016-12-21,43.15745
1482364800000,2016-12-22,28.77164
1482451200000,2016-12-23,22.21138
1482710400000,2016-12-26,30.85696
1482796800000,2016-12-27,41.55896
1482883200000,2016-12-28,52.39734
1482969600000,2016-12-29,68.26489
1483056000000,2016-12-30,76.37415
1483401600000,2017-01-03,83.05894
1483488000000,2017-01-04,80.37264
1483574400000,2017-01-05,77.39129
1483660800000,2017-01-06,68.26086
1483920000000,2017-01-09,49.01602
1484006400000,2017-01-10,32.67735
1484092800000,2017-01-11,21.7849
1484179200000,2017-01-12,14.52327
1484265600000,2017-01-13,14.6822
1484524800000,2017-01-16,11.54252
1484611200000,2017-01-17,9.917247
1484697600000,2017-01-18,9.175608
1484784000000,2017-01-19,20.40282
1484870400000,2017-01-20,20.26858
1485129600000,2017-01-23,13.51238
1485216000000,2017-01-24,22.34164
1485993600000,2017-02-02,37.11662
1486080000000,2017-02-03,58.07774
1486339200000,2017-02-06,56.57563
1486425600000,2017-02-07,54.38374
1486512000000,2017-02-08,54.11296
1486598400000,2017-02-09,55.12292
1486684800000,2017-02-10,65.32
1486944000000,2017-02-13,62.29668
1487030400000,2017-02-14,58.19781
1487116800000,2017-02-15,56.65569
1487203200000,2017-02-16,50.05116
1487289600000,2017-02-17,43.89374
