timestamp,timestring,K9_D
1471564800000,2016-08-19,30.25582
1471824000000,2016-08-22,32.67055
1471910400000,2016-08-23,35.66925
1471996800000,2016-08-24,40.44616
1472083200000,2016-08-25,50.29747
1472169600000,2016-08-26,50.19831
1472428800000,2016-08-29,62.03695
1472515200000,2016-08-30,67.54842
1472601600000,2016-08-31,69.59367
1472688000000,2016-09-01,70.95718
1472774400000,2016-09-02,71.8662
1473033600000,2016-09-05,78.46635
1473120000000,2016-09-06,76.26923
1473206400000,2016-09-07,69.59616
1473292800000,2016-09-08,61.33996
1473379200000,2016-09-09,55.55998
1473465600000,2016-09-10,47.03999
1473638400000,2016-09-12,41.36
1473724800000,2016-09-13,35.90667
1473811200000,2016-09-14,37.51802
1474243200000,2016-09-19,37.51203
1474329600000,2016-09-20,37.50803
1474416000000,2016-09-21,33.33869
1474502400000,2016-09-22,31.94802
1474588800000,2016-09-23,29.63201
1474848000000,2016-09-26,22.65323
1475107200000,2016-09-29,22.34853
1475193600000,2016-09-30,19.66091
1475452800000,2016-10-03,19.7739
1475539200000,2016-10-04,21.5159
1475625600000,2016-10-05,35.17728
1475712000000,2016-10-06,56.78485
1475798400000,2016-10-07,63.4976
1476144000000,2016-10-11,54.29754
1476230400000,2016-10-12,46.45476
1476316800000,2016-10-13,41.78065
1476403200000,2016-10-14,41.36728
1476662400000,2016-10-17,42.89351
1476748800000,2016-10-18,43.01009
1476835200000,2016-10-19,55.94611
1476921600000,2016-10-20,57.49944
1477008000000,2016-10-21,59.76153
1477267200000,2016-10-24,64.08344
1477353600000,2016-10-25,60.90411
1477440000000,2016-10-26,51.20881
1477526400000,2016-10-27,45.25029
1477612800000,2016-10-28,38.50019
1477872000000,2016-10-31,44.00013
1477958400000,2016-11-01,42.66677
1478044800000,2016-11-02,33.44453
1478131200000,2016-11-03,23.96303
1478217600000,2016-11-04,17.64203
1478476800000,2016-11-07,11.76135
1478563200000,2016-11-08,7.840901
1478649600000,2016-11-09,6.89394
1478736000000,2016-11-10,12.09596
1478822400000,2016-11-11,14.31397
1479081600000,2016-11-14,21.88832
1479168000000,2016-11-15,29.87
1479254400000,2016-11-16,42.6406
1479340800000,2016-11-17,52.66949
1479427200000,2016-11-18,58.92252
1479686400000,2016-11-21,63.09119
1479772800000,2016-11-22,59.60466
1479859200000,2016-11-23,55.52591
1479945600000,2016-11-24,54.56113
1480032000000,2016-11-25,45.26297
1480291200000,2016-11-28,43.50866
1480377600000,2016-11-29,46.78353
1480464000000,2016-11-30,44.52236
1480550400000,2016-12-01,32.71189
1480636800000,2016-12-02,33.92912
1480896000000,2016-12-05,25.64973
1480982400000,2016-12-06,26.1907
1481068800000,2016-12-07,29.58166
1481155200000,2016-12-08,23.05445
1481241600000,2016-12-09,32.0363
1481500800000,2016-12-12,30.44842
1481587200000,2016-12-13,45.29898
1481673600000,2016-12-14,59.36605
1481760000000,2016-12-15,72.9107
1481846400000,2016-12-16,75.27377
1482105600000,2016-12-19,66.84918
1482192000000,2016-12-20,57.89944
1482278400000,2016-12-21,65.26627
1482364800000,2016-12-22,63.51086
1482451200000,2016-12-23,69.00722
1482710400000,2016-12-26,73.78257
1482796800000,2016-12-27,71.41057
1482883200000,2016-12-28,80.94038
1482969600000,2016-12-29,68.24598
1483056000000,2016-12-30,55.02112
1483401600000,2017-01-03,41.80898
1483488000000,2017-01-04,27.87265
1483574400000,2017-01-05,18.58177
1483660800000,2017-01-06,12.38784
1483920000000,2017-01-09,8.258563
1484006400000,2017-01-10,9.209428
1484092800000,2017-01-11,6.139618
1484179200000,2017-01-12,4.093079
1484265600000,2017-01-13,11.06203
1484524800000,2017-01-16,7.374685
1484611200000,2017-01-17,4.916457
1484697600000,2017-01-18,8.833166
1484784000000,2017-01-19,18.00999
1484870400000,2017-01-20,24.12788
1485129600000,2017-01-23,32.75192
1485216000000,2017-01-24,44.05687
1485993600000,2017-02-02,29.37125
1486080000000,2017-02-03,25.13632
1486339200000,2017-02-06,16.75754
1486425600000,2017-02-07,34.98126
1486512000000,2017-02-08,32.84461
1486598400000,2017-02-09,26.65834
1486684800000,2017-02-10,27.296
1486944000000,2017-02-13,22.95926
1487030400000,2017-02-14,20.06811
1487116800000,2017-02-15,33.37868
1487203200000,2017-02-16,42.2524
1487289600000,2017-02-17,28.16827
