timestamp,timestring,K9_D
1471564800000,2016-08-19,62.49721
1471824000000,2016-08-22,52.7759
1471910400000,2016-08-23,49.46964
1471996800000,2016-08-24,50.44008
1472083200000,2016-08-25,63.25636
1472169600000,2016-08-26,70.74232
1472428800000,2016-08-29,72.16154
1472515200000,2016-08-30,75.48865
1472601600000,2016-08-31,75.96677
1472688000000,2016-09-01,75.00349
1472774400000,2016-09-02,71.21446
1473033600000,2016-09-05,65.80962
1473120000000,2016-09-06,65.53973
1473206400000,2016-09-07,69.18333
1473292800000,2016-09-08,71.12226
1473379200000,2016-09-09,74.49818
1473465600000,2016-09-10,70.49881
1473638400000,2016-09-12,71.99924
1473724800000,2016-09-13,78.76877
1473811200000,2016-09-14,85.84584
1474243200000,2016-09-19,90.56389
1474329600000,2016-09-20,93.70926
1474416000000,2016-09-21,95.80617
1474502400000,2016-09-22,97.20411
1474588800000,2016-09-23,94.21449
1474848000000,2016-09-26,96.14299
1475107200000,2016-09-29,97.42867
1475193600000,2016-09-30,89.51385
1475452800000,2016-10-03,83.20532
1475539200000,2016-10-04,78.99963
1475625600000,2016-10-05,76.19584
1475712000000,2016-10-06,67.46389
1475798400000,2016-10-07,61.64259
1476144000000,2016-10-11,62.52364
1476230400000,2016-10-12,58.3491
1476316800000,2016-10-13,58.34385
1476403200000,2016-10-14,55.56257
1476662400000,2016-10-17,46.56555
1476748800000,2016-10-18,40.56741
1476835200000,2016-10-19,36.56871
1476921600000,2016-10-20,36.65987
1477008000000,2016-10-21,33.1356
1477267200000,2016-10-24,33.68459
1477353600000,2016-10-25,31.54734
1477440000000,2016-10-26,28.51455
1477526400000,2016-10-27,30.57432
1477612800000,2016-10-28,32.70171
1477872000000,2016-10-31,36.29388
1477958400000,2016-11-01,44.52111
1478044800000,2016-11-02,54.68073
1478131200000,2016-11-03,57.4062
1478217600000,2016-11-04,59.22318
1478476800000,2016-11-07,70.96359
1478563200000,2016-11-08,78.34354
1478649600000,2016-11-09,68.10202
1478736000000,2016-11-10,63.73466
1478822400000,2016-11-11,48.04532
1479081600000,2016-11-14,33.54534
1479168000000,2016-11-15,31.45444
1479254400000,2016-11-16,39.15145
1479340800000,2016-11-17,44.28279
1479427200000,2016-11-18,49.52187
1479686400000,2016-11-21,53.0146
1479772800000,2016-11-22,62.00974
1479859200000,2016-11-23,68.00651
1479945600000,2016-11-24,78.67101
1480032000000,2016-11-25,82.60606
1480291200000,2016-11-28,86.44321
1480377600000,2016-11-29,90.96214
1480464000000,2016-11-30,93.97476
1480550400000,2016-12-01,93.3165
1480636800000,2016-12-02,95.54433
1480896000000,2016-12-05,97.02955
1480982400000,2016-12-06,98.0197
1481068800000,2016-12-07,98.67979
1481155200000,2016-12-08,99.11986
1481241600000,2016-12-09,99.41324
1481500800000,2016-12-12,96.27547
1481587200000,2016-12-13,83.6281
1481673600000,2016-12-14,75.75201
1481760000000,2016-12-15,63.00132
1481846400000,2016-12-16,51.09178
1482105600000,2016-12-19,35.64847
1482192000000,2016-12-20,26.79596
1482278400000,2016-12-21,25.43973
1482364800000,2016-12-22,16.95982
1482451200000,2016-12-23,13.77569
1482710400000,2016-12-26,18.7076
1482796800000,2016-12-27,21.99553
1482883200000,2016-12-28,23.63801
1482969600000,2016-12-29,30.91021
1483056000000,2016-12-30,33.94011
1483401600000,2017-01-03,35.96004
1483488000000,2017-01-04,39.35794
1483574400000,2017-01-05,52.90527
1483660800000,2017-01-06,61.93682
1483920000000,2017-01-09,70.45781
1484006400000,2017-01-10,76.13846
1484092800000,2017-01-11,63.25905
1484179200000,2017-01-12,71.33929
1484265600000,2017-01-13,64.2262
1484524800000,2017-01-16,57.10313
1484611200000,2017-01-17,57.11624
1484697600000,2017-01-18,66.64882
1484784000000,2017-01-19,49.19437
1484870400000,2017-01-20,42.32008
1485129600000,2017-01-23,42.49905
1485216000000,2017-01-24,42.61836
1485993600000,2017-02-02,56.98357
1486080000000,2017-02-03,66.56037
1486339200000,2017-02-06,48.54033
1486425600000,2017-02-07,34.02689
1486512000000,2017-02-08,24.35126
1486598400000,2017-02-09,20.77962
1486684800000,2017-02-10,25.9743
1486944000000,2017-02-13,37.01315
1487030400000,2017-02-14,36.79663
1487116800000,2017-02-15,30.59166
1487203200000,2017-02-16,29.48532
1487289600000,2017-02-17,27.49997
