timestamp,timestring,K9_D
1471564800000,2016-08-19,22.65465
1471824000000,2016-08-22,23.79883
1471910400000,2016-08-23,18.89618
1471996800000,2016-08-24,24.5022
1472083200000,2016-08-25,30.62055
1472169600000,2016-08-26,32.31844
1472428800000,2016-08-29,38.87894
1472515200000,2016-08-30,43.25262
1472601600000,2016-08-31,48.83513
1472688000000,2016-09-01,63.42089
1472774400000,2016-09-02,71.91026
1473033600000,2016-09-05,77.56983
1473120000000,2016-09-06,74.79015
1473206400000,2016-09-07,76.52686
1473292800000,2016-09-08,80.35126
1473379200000,2016-09-09,81.5675
1473465600000,2016-09-10,79.86846
1473638400000,2016-09-12,76.10281
1473724800000,2016-09-13,73.59238
1473811200000,2016-09-14,67.15684
1474243200000,2016-09-19,67.6284
1474329600000,2016-09-20,63.18085
1474416000000,2016-09-21,66.88245
1474502400000,2016-09-22,68.39787
1474588800000,2016-09-23,63.69383
1474848000000,2016-09-26,45.79597
1475107200000,2016-09-29,45.91536
1475193600000,2016-09-30,38.9435
1475452800000,2016-10-03,30.40668
1475539200000,2016-10-04,32.17598
1475625600000,2016-10-05,38.11732
1475712000000,2016-10-06,30.17335
1475798400000,2016-10-07,20.11557
1476144000000,2016-10-11,21.30514
1476230400000,2016-10-12,14.20342
1476316800000,2016-10-13,9.468949
1476403200000,2016-10-14,8.876733
1476662400000,2016-10-17,14.72284
1476748800000,2016-10-18,18.62025
1476835200000,2016-10-19,19.08015
1476921600000,2016-10-20,27.00581
1477008000000,2016-10-21,31.60933
1477267200000,2016-10-24,41.07291
1477353600000,2016-10-25,55.15969
1477440000000,2016-10-26,69.03122
1477526400000,2016-10-27,77.20361
1477612800000,2016-10-28,70.35799
1477872000000,2016-10-31,61.00792
1477958400000,2016-11-01,55.67199
1478044800000,2016-11-02,58.78136
1478131200000,2016-11-03,45.85424
1478217600000,2016-11-04,30.5695
1478476800000,2016-11-07,20.37966
1478563200000,2016-11-08,30.25311
1478649600000,2016-11-09,35.55336
1478736000000,2016-11-10,44.21506
1478822400000,2016-11-11,53.71915
1479081600000,2016-11-14,57.02489
1479168000000,2016-11-15,59.22871
1479254400000,2016-11-16,60.91438
1479340800000,2016-11-17,59.6572
1479427200000,2016-11-18,60.24764
1479686400000,2016-11-21,60.16507
1479772800000,2016-11-22,60.69827
1479859200000,2016-11-23,58.32265
1479945600000,2016-11-24,53.61041
1480032000000,2016-11-25,50.55505
1480291200000,2016-11-28,56.93565
1480377600000,2016-11-29,62.68827
1480464000000,2016-11-30,74.2708
1480550400000,2016-12-01,81.29684
1480636800000,2016-12-02,85.6794
1480896000000,2016-12-05,77.30736
1480982400000,2016-12-06,75.48191
1481068800000,2016-12-07,74.56368
1481155200000,2016-12-08,63.39962
1481241600000,2016-12-09,51.19501
1481500800000,2016-12-12,43.564
1481587200000,2016-12-13,38.56646
1481673600000,2016-12-14,34.4411
1481760000000,2016-12-15,39.6274
1481846400000,2016-12-16,51.85685
1482105600000,2016-12-19,39.83435
1482192000000,2016-12-20,33.96364
1482278400000,2016-12-21,30.72323
1482364800000,2016-12-22,21.19139
1482451200000,2016-12-23,14.7812
1482710400000,2016-12-26,10.50774
1482796800000,2016-12-27,8.312382
1482883200000,2016-12-28,8.809572
1482969600000,2016-12-29,14.38367
1483056000000,2016-12-30,22.33422
1483401600000,2017-01-03,37.96642
1483488000000,2017-01-04,45.60081
1483574400000,2017-01-05,55.4006
1483660800000,2017-01-06,68.87828
1483920000000,2017-01-09,66.75229
1484006400000,2017-01-10,75.81461
1484092800000,2017-01-11,82.86629
1484179200000,2017-01-12,87.50223
1484265600000,2017-01-13,80.55704
1484524800000,2017-01-16,68.98244
1484611200000,2017-01-17,61.26604
1484697600000,2017-01-18,68.6218
1484784000000,2017-01-19,63.80346
1484870400000,2017-01-20,44.75771
1485129600000,2017-01-23,34.28281
1485216000000,2017-01-24,24.93858
1485993600000,2017-02-02,37.45902
1486080000000,2017-02-03,37.47271
1486339200000,2017-02-06,38.31519
1486425600000,2017-02-07,46.37679
1486512000000,2017-02-08,51.75119
1486598400000,2017-02-09,53.25082
1486684800000,2017-02-10,54.2506
1486944000000,2017-02-13,64.57616
1487030400000,2017-02-14,71.31166
1487116800000,2017-02-15,80.00867
1487203200000,2017-02-16,75.8391
1487289600000,2017-02-17,71.00385
