timestamp,timestring,K9_D
1471564800000,2016-08-19,30.87286
1471824000000,2016-08-22,23.09762
1471910400000,2016-08-23,16.47367
1471996800000,2016-08-24,13.2813
1472083200000,2016-08-25,15.52085
1472169600000,2016-08-26,11.45833
1472428800000,2016-08-29,9.861116
1472515200000,2016-08-30,6.574078
1472601600000,2016-08-31,14.18664
1472688000000,2016-09-01,31.68
1472774400000,2016-09-02,36.993
1473033600000,2016-09-05,49.10645
1473120000000,2016-09-06,60.86264
1473206400000,2016-09-07,71.82509
1473292800000,2016-09-08,78.58512
1473379200000,2016-09-09,78.70585
1473465600000,2016-09-10,73.52319
1473638400000,2016-09-12,60.12657
1473724800000,2016-09-13,44.5288
1473811200000,2016-09-14,42.18587
1474243200000,2016-09-19,37.49889
1474329600000,2016-09-20,43.74925
1474416000000,2016-09-21,60.41616
1474502400000,2016-09-22,61.57374
1474588800000,2016-09-23,68.82695
1474848000000,2016-09-26,69.03279
1475107200000,2016-09-29,62.68853
1475193600000,2016-09-30,49.19976
1475452800000,2016-10-03,34.88318
1475539200000,2016-10-04,28.30596
1475625600000,2016-10-05,24.93123
1475712000000,2016-10-06,21.67133
1475798400000,2016-10-07,17.57254
1476144000000,2016-10-11,20.80596
1476230400000,2016-10-12,21.44639
1476316800000,2016-10-13,20.35822
1476403200000,2016-10-14,16.74676
1476662400000,2016-10-17,17.11688
1476748800000,2016-10-18,26.88747
1476835200000,2016-10-19,32.21069
1476921600000,2016-10-20,37.4738
1477008000000,2016-10-21,58.31586
1477267200000,2016-10-24,64.85764
1477353600000,2016-10-25,63.33646
1477440000000,2016-10-26,64.77333
1477526400000,2016-10-27,64.75085
1477612800000,2016-10-28,62.21485
1477872000000,2016-10-31,54.47091
1477958400000,2016-11-01,52.13314
1478044800000,2016-11-02,45.67497
1478131200000,2016-11-03,31.3047
1478217600000,2016-11-04,22.67161
1478476800000,2016-11-07,18.71803
1478563200000,2016-11-08,15.50898
1478649600000,2016-11-09,12.19118
1478736000000,2016-11-10,19.89216
1478822400000,2016-11-11,25.38266
1479081600000,2016-11-14,42.56281
1479168000000,2016-11-15,59.53466
1479254400000,2016-11-16,60.44447
1479340800000,2016-11-17,59.79315
1479427200000,2016-11-18,64.3904
1479686400000,2016-11-21,66.19736
1479772800000,2016-11-22,63.17918
1479859200000,2016-11-23,61.84732
1479945600000,2016-11-24,49.56487
1480032000000,2016-11-25,35.06345
1480291200000,2016-11-28,35.49684
1480377600000,2016-11-29,43.27239
1480464000000,2016-11-30,57.41972
1480550400000,2016-12-01,66.14051
1480636800000,2016-12-02,63.83052
1480896000000,2016-12-05,69.30807
1480982400000,2016-12-06,76.20537
1481068800000,2016-12-07,76.27175
1481155200000,2016-12-08,71.32975
1481241600000,2016-12-09,63.13759
1481500800000,2016-12-12,50.05195
1481587200000,2016-12-13,39.01768
1481673600000,2016-12-14,28.83665
1481760000000,2016-12-15,21.2446
1481846400000,2016-12-16,17.40381
1482105600000,2016-12-19,12.99143
1482192000000,2016-12-20,18.35794
1482278400000,2016-12-21,18.16455
1482364800000,2016-12-22,14.01447
1482451200000,2016-12-23,12.28415
1482710400000,2016-12-26,15.26015
1482796800000,2016-12-27,15.50674
1482883200000,2016-12-28,13.00451
1482969600000,2016-12-29,9.904224
1483056000000,2016-12-30,16.47936
1483401600000,2017-01-03,17.04688
1483488000000,2017-01-04,15.80905
1483574400000,2017-01-05,17.6822
1483660800000,2017-01-06,16.23251
1483920000000,2017-01-09,10.82167
1484006400000,2017-01-10,16.30535
1484092800000,2017-01-11,18.446
1484179200000,2017-01-12,18.35797
1484265600000,2017-01-13,19.81441
1484524800000,2017-01-16,17.13119
1484611200000,2017-01-17,14.92958
1484697600000,2017-01-18,35.87896
1484784000000,2017-01-19,48.91929
1484870400000,2017-01-20,45.11289
1485129600000,2017-01-23,38.40861
1485216000000,2017-01-24,52.6891
1485993600000,2017-02-02,53.45943
1486080000000,2017-02-03,65.63967
1486339200000,2017-02-06,68.75976
1486425600000,2017-02-07,64.58986
1486512000000,2017-02-08,66.02286
1486598400000,2017-02-09,65.49673
1486684800000,2017-02-10,59.9607
1486944000000,2017-02-13,59.97378
1487030400000,2017-02-14,53.1404
1487116800000,2017-02-15,59.98834
1487203200000,2017-02-16,53.5725
1487289600000,2017-02-17,57.45408
