timestamp,timestring,K9_D
1471564800000,2016-08-19,63.68074
1471824000000,2016-08-22,70.04004
1471910400000,2016-08-23,75.12473
1471996800000,2016-08-24,50.65786
1472083200000,2016-08-25,37.15357
1472169600000,2016-08-26,34.914
1472428800000,2016-08-29,31.97166
1472515200000,2016-08-30,30.01011
1472601600000,2016-08-31,28.7024
1472688000000,2016-09-01,27.8306
1472774400000,2016-09-02,22.90157
1473033600000,2016-09-05,25.982
1473120000000,2016-09-06,49.46421
1473206400000,2016-09-07,50.6845
1473292800000,2016-09-08,51.49802
1473379200000,2016-09-09,43.70702
1473465600000,2016-09-10,36.9811
1473638400000,2016-09-12,30.5364
1473724800000,2016-09-13,29.12952
1473811200000,2016-09-14,23.80564
1474243200000,2016-09-19,22.01075
1474329600000,2016-09-20,20.81415
1474416000000,2016-09-21,27.45634
1474502400000,2016-09-22,36.82277
1474588800000,2016-09-23,38.58364
1474848000000,2016-09-26,32.73999
1475107200000,2016-09-29,48.14243
1475193600000,2016-09-30,56.33739
1475452800000,2016-10-03,55.74011
1475539200000,2016-10-04,62.55689
1475625600000,2016-10-05,68.68869
1475712000000,2016-10-06,58.49081
1475798400000,2016-10-07,42.16843
1476144000000,2016-10-11,32.51483
1476230400000,2016-10-12,27.14104
1476316800000,2016-10-13,20.69819
1476403200000,2016-10-14,15.99178
1476662400000,2016-10-17,13.11733
1476748800000,2016-10-18,14.35892
1476835200000,2016-10-19,24.82085
1476921600000,2016-10-20,46.81542
1477008000000,2016-10-21,59.96026
1477267200000,2016-10-24,71.66074
1477353600000,2016-10-25,79.04955
1477440000000,2016-10-26,84.8836
1477526400000,2016-10-27,87.62356
1477612800000,2016-10-28,89.3681
1477872000000,2016-10-31,88.0101
1477958400000,2016-11-01,76.09766
1478044800000,2016-11-02,58.50951
1478131200000,2016-11-03,51.22855
1478217600000,2016-11-04,43.6762
1478476800000,2016-11-07,48.16514
1478563200000,2016-11-08,54.33231
1478649600000,2016-11-09,48.50225
1478736000000,2016-11-10,58.46094
1478822400000,2016-11-11,56.56657
1479081600000,2016-11-14,62.7111
1479168000000,2016-11-15,58.4741
1479254400000,2016-11-16,54.72353
1479340800000,2016-11-17,44.8157
1479427200000,2016-11-18,29.87713
1479686400000,2016-11-21,28.41483
1479772800000,2016-11-22,32.66873
1479859200000,2016-11-23,37.38201
1479945600000,2016-11-24,36.9781
1480032000000,2016-11-25,36.97092
1480291200000,2016-11-28,37.8256
1480377600000,2016-11-29,39.10593
1480464000000,2016-11-30,30.83253
1480550400000,2016-12-01,20.55502
1480636800000,2016-12-02,14.8938
1480896000000,2016-12-05,17.22091
1480982400000,2016-12-06,24.12426
1481068800000,2016-12-07,33.93996
1481155200000,2016-12-08,43.61432
1481241600000,2016-12-09,53.76752
1481500800000,2016-12-12,60.53633
1481587200000,2016-12-13,69.24643
1481673600000,2016-12-14,78.64293
1481760000000,2016-12-15,76.99003
1481846400000,2016-12-16,84.66002
1482105600000,2016-12-19,80.79899
1482192000000,2016-12-20,76.56104
1482278400000,2016-12-21,75.15415
1482364800000,2016-12-22,65.18213
1482451200000,2016-12-23,54.56586
1482710400000,2016-12-26,48.41429
1482796800000,2016-12-27,34.6571
1482883200000,2016-12-28,28.00669
1482969600000,2016-12-29,23.57309
1483056000000,2016-12-30,37.93758
1483401600000,2017-01-03,42.625
1483488000000,2017-01-04,51.14397
1483574400000,2017-01-05,64.99026
1483660800000,2017-01-06,72.00902
1483920000000,2017-01-09,73.5874
1484006400000,2017-01-10,76.96526
1484092800000,2017-01-11,70.60842
1484179200000,2017-01-12,67.79305
1484265600000,2017-01-13,50.57171
1484524800000,2017-01-16,36.55136
1484611200000,2017-01-17,26.98197
1484697600000,2017-01-18,19.94878
1484784000000,2017-01-19,16.92238
1484870400000,2017-01-20,14.18015
1485129600000,2017-01-23,14.75649
1485216000000,2017-01-24,19.00432
1485993600000,2017-02-02,31.58843
1486080000000,2017-02-03,48.64516
1486339200000,2017-02-06,65.76344
1486425600000,2017-02-07,72.67113
1486512000000,2017-02-08,75.11404
1486598400000,2017-02-09,83.40936
1486684800000,2017-02-10,88.9395
1486944000000,2017-02-13,91.56815
1487030400000,2017-02-14,83.88494
1487116800000,2017-02-15,75.48855
1487203200000,2017-02-16,61.70783
1487289600000,2017-02-17,56.58573
