timestamp,timestring,K9_D
1471564800000,2016-08-19,18.53918
1471824000000,2016-08-22,12.35945
1471910400000,2016-08-23,11.01742
1471996800000,2016-08-24,10.12274
1472083200000,2016-08-25,31.74851
1472169600000,2016-08-26,47.83238
1472428800000,2016-08-29,46.7031
1472515200000,2016-08-30,45.95025
1472601600000,2016-08-31,38.04092
1472688000000,2016-09-01,32.76804
1472774400000,2016-09-02,36.66021
1473033600000,2016-09-05,41.10677
1473120000000,2016-09-06,52.40449
1473206400000,2016-09-07,64.56601
1473292800000,2016-09-08,65.26625
1473379200000,2016-09-09,58.32564
1473465600000,2016-09-10,46.2912
1473638400000,2016-09-12,38.26824
1473724800000,2016-09-13,29.21588
1473811200000,2016-09-14,19.47725
1474243200000,2016-09-19,22.98487
1474329600000,2016-09-20,25.32329
1474416000000,2016-09-21,50.21552
1474502400000,2016-09-22,59.40293
1474588800000,2016-09-23,65.52786
1474848000000,2016-09-26,58.50009
1475107200000,2016-09-29,57.51855
1475193600000,2016-09-30,49.45683
1475452800000,2016-10-03,45.47125
1475539200000,2016-10-04,39.83801
1475625600000,2016-10-05,36.0825
1475712000000,2016-10-06,33.57884
1475798400000,2016-10-07,22.38589
1476144000000,2016-10-11,34.92388
1476230400000,2016-10-12,29.94928
1476316800000,2016-10-13,26.63288
1476403200000,2016-10-14,44.42189
1476662400000,2016-10-17,42.94798
1476748800000,2016-10-18,55.29863
1476835200000,2016-10-19,70.19908
1476921600000,2016-10-20,73.46603
1477008000000,2016-10-21,82.31068
1477267200000,2016-10-24,77.09598
1477353600000,2016-10-25,79.17508
1477440000000,2016-10-26,63.89453
1477526400000,2016-10-27,42.59636
1477612800000,2016-10-28,55.06421
1477872000000,2016-10-31,64.48723
1477958400000,2016-11-01,70.76924
1478044800000,2016-11-02,69.40168
1478131200000,2016-11-03,57.37893
1478217600000,2016-11-04,49.36377
1478476800000,2016-11-07,49.57579
1478563200000,2016-11-08,55.27271
1478649600000,2016-11-09,41.61039
1478736000000,2016-11-10,42.02602
1478822400000,2016-11-11,31.35069
1479081600000,2016-11-14,24.2338
1479168000000,2016-11-15,19.48922
1479254400000,2016-11-16,16.32616
1479340800000,2016-11-17,17.5508
1479427200000,2016-11-18,15.03388
1479686400000,2016-11-21,20.02256
1479772800000,2016-11-22,25.84835
1479859200000,2016-11-23,39.45443
1479945600000,2016-11-24,37.4141
1480032000000,2016-11-25,31.60942
1480291200000,2016-11-28,27.73964
1480377600000,2016-11-29,25.15979
1480464000000,2016-11-30,16.77319
1480550400000,2016-12-01,22.29327
1480636800000,2016-12-02,23.19556
1480896000000,2016-12-05,15.4637
1480982400000,2016-12-06,36.97578
1481068800000,2016-12-07,49.65064
1481155200000,2016-12-08,59.76707
1481241600000,2016-12-09,59.84479
1481500800000,2016-12-12,53.22991
1481587200000,2016-12-13,48.81999
1481673600000,2016-12-14,32.54666
1481760000000,2016-12-15,35.03116
1481846400000,2016-12-16,36.68749
1482105600000,2016-12-19,37.79171
1482192000000,2016-12-20,38.52786
1482278400000,2016-12-21,42.35199
1482364800000,2016-12-22,44.90141
1482451200000,2016-12-23,46.60102
1482710400000,2016-12-26,47.73409
1482796800000,2016-12-27,42.93391
1482883200000,2016-12-28,50.84497
1482969600000,2016-12-29,45.00783
1483056000000,2016-12-30,63.33855
1483401600000,2017-01-03,75.55904
1483488000000,2017-01-04,67.03952
1483574400000,2017-01-05,66.91516
1483660800000,2017-01-06,73.1816
1483920000000,2017-01-09,71.00998
1484006400000,2017-01-10,73.26588
1484092800000,2017-01-11,74.76982
1484179200000,2017-01-12,83.17988
1484265600000,2017-01-13,88.78658
1484524800000,2017-01-16,82.52435
1484611200000,2017-01-17,78.34953
1484697600000,2017-01-18,73.06632
1484784000000,2017-01-19,55.37757
1484870400000,2017-01-20,43.58507
1485129600000,2017-01-23,29.05672
1485216000000,2017-01-24,19.37114
1485993600000,2017-02-02,12.9141
1486080000000,2017-02-03,16.01677
1486339200000,2017-02-06,21.78893
1486425600000,2017-02-07,31.19262
1486512000000,2017-02-08,33.29506
1486598400000,2017-02-09,38.86337
1486684800000,2017-02-10,54.4804
1486944000000,2017-02-13,69.65359
1487030400000,2017-02-14,76.06535
1487116800000,2017-02-15,84.04356
1487203200000,2017-02-16,83.3018
1487289600000,2017-02-17,78.86789
