timestamp,timestring,K9_D
1471824000000,2016-08-22,66.63969
1471910400000,2016-08-23,66.64864
1471996800000,2016-08-24,61.09906
1472083200000,2016-08-25,55.01846
1472169600000,2016-08-26,39.70929
1472428800000,2016-08-29,34.80622
1472515200000,2016-08-30,42.6486
1472601600000,2016-08-31,31.21019
1472688000000,2016-09-01,50.80678
1472774400000,2016-09-02,67.20451
1473033600000,2016-09-05,71.78714
1473120000000,2016-09-06,71.66761
1473206400000,2016-09-07,71.58793
1473292800000,2016-09-08,66.77291
1473379200000,2016-09-09,49.27719
1473465600000,2016-09-10,37.39693
1473638400000,2016-09-12,33.90565
1473724800000,2016-09-13,22.60377
1473811200000,2016-09-14,20.27751
1474243200000,2016-09-19,16.08245
1474329600000,2016-09-20,17.13189
1474416000000,2016-09-21,33.21614
1474502400000,2016-09-22,40.98468
1474588800000,2016-09-23,45.50494
1474848000000,2016-09-26,43.97301
1475107200000,2016-09-29,35.37597
1475193600000,2016-09-30,37.22036
1475452800000,2016-10-03,41.48024
1475539200000,2016-10-04,47.65351
1475625600000,2016-10-05,48.43567
1475712000000,2016-10-06,47.67503
1475798400000,2016-10-07,51.7833
1476144000000,2016-10-11,51.18887
1476230400000,2016-10-12,60.79255
1476316800000,2016-10-13,63.86166
1476403200000,2016-10-14,61.09293
1476662400000,2016-10-17,59.24711
1476748800000,2016-10-18,46.90549
1476835200000,2016-10-19,49.78882
1476921600000,2016-10-20,56.52591
1477008000000,2016-10-21,51.01732
1477267200000,2016-10-24,53.45598
1477353600000,2016-10-25,49.52622
1477440000000,2016-10-26,46.90638
1477526400000,2016-10-27,42.38203
1477612800000,2016-10-28,44.92133
1477872000000,2016-10-31,39.47136
1477958400000,2016-11-01,31.07612
1478044800000,2016-11-02,25.16187
1478131200000,2016-11-03,24.61775
1478217600000,2016-11-04,26.21575
1478476800000,2016-11-07,33.16346
1478563200000,2016-11-08,35.83447
1478649600000,2016-11-09,33.61185
1478736000000,2016-11-10,45.32457
1478822400000,2016-11-11,53.13305
1479081600000,2016-11-14,54.17202
1479168000000,2016-11-15,54.86467
1479254400000,2016-11-16,55.32644
1479340800000,2016-11-17,55.63428
1479427200000,2016-11-18,53.75616
1479686400000,2016-11-21,52.50409
1479772800000,2016-11-22,44.09367
1479859200000,2016-11-23,35.45641
1479945600000,2016-11-24,42.15609
1480032000000,2016-11-25,40.60409
1480291200000,2016-11-28,60.40273
1480377600000,2016-11-29,73.60181
1480464000000,2016-11-30,82.40121
1480550400000,2016-12-01,88.26747
1480636800000,2016-12-02,88.33217
1480896000000,2016-12-05,88.51775
1480982400000,2016-12-06,88.1785
1481068800000,2016-12-07,87.2579
1481155200000,2016-12-08,86.43282
1481241600000,2016-12-09,83.54781
1481500800000,2016-12-12,77.18003
1481587200000,2016-12-13,62.05942
1481673600000,2016-12-14,46.27491
1481760000000,2016-12-15,37.71268
1481846400000,2016-12-16,32.98492
1482105600000,2016-12-19,32.33477
1482192000000,2016-12-20,32.2708
1482278400000,2016-12-21,33.41863
1482364800000,2016-12-22,27.04099
1482451200000,2016-12-23,23.58287
1482710400000,2016-12-26,18.75223
1482796800000,2016-12-27,40.27929
1482883200000,2016-12-28,43.5195
1482969600000,2016-12-29,31.79074
1483056000000,2016-12-30,32.30494
1483401600000,2017-01-03,32.64774
1483488000000,2017-01-04,30.09848
1483574400000,2017-01-05,26.73228
1483660800000,2017-01-06,37.82147
1483920000000,2017-01-09,48.54761
1484006400000,2017-01-10,52.36502
1484092800000,2017-01-11,68.24335
1484179200000,2017-01-12,72.1622
1484265600000,2017-01-13,78.10812
1484524800000,2017-01-16,73.73874
1484611200000,2017-01-17,68.4574
1484697600000,2017-01-18,53.04566
1484784000000,2017-01-19,43.30028
1484870400000,2017-01-20,28.86685
1485129600000,2017-01-23,23.68901
1485216000000,2017-01-24,19.83307
1485993600000,2017-02-02,19.28265
1486080000000,2017-02-03,25.98642
1486339200000,2017-02-06,31.76874
1486425600000,2017-02-07,41.69198
1486512000000,2017-02-08,49.00676
1486598400000,2017-02-09,50.853
1486684800000,2017-02-10,49.0535
1486944000000,2017-02-13,47.85384
1487030400000,2017-02-14,42.50863
1487116800000,2017-02-15,40.00574
1487203200000,2017-02-16,30.59207
1487289600000,2017-02-17,22.35551
1487376000000,2017-02-18,20.0319
