timestamp,timestring,K9_D
1471824000000,2016-08-22,14.08944
1471910400000,2016-08-23,13.39297
1471996800000,2016-08-24,11.70644
1472083200000,2016-08-25,13.35984
1472169600000,2016-08-26,13.2544
1472428800000,2016-08-29,12.53998
1472515200000,2016-08-30,17.88379
1472601600000,2016-08-31,40.49394
1472688000000,2016-09-01,46.04361
1472774400000,2016-09-02,48.64446
1473033600000,2016-09-05,60.63474
1473120000000,2016-09-06,73.75649
1473206400000,2016-09-07,76.15515
1473292800000,2016-09-08,77.75426
1473379200000,2016-09-09,78.82033
1473465600000,2016-09-10,67.54689
1473638400000,2016-09-12,55.55756
1473724800000,2016-09-13,37.03838
1473811200000,2016-09-14,31.04146
1474243200000,2016-09-19,36.56733
1474329600000,2016-09-20,40.25125
1474416000000,2016-09-21,48.50082
1474502400000,2016-09-22,46.36895
1474588800000,2016-09-23,47.5793
1474848000000,2016-09-26,50.76711
1475107200000,2016-09-29,60.03516
1475193600000,2016-09-30,54.30915
1475452800000,2016-10-03,57.4182
1475539200000,2016-10-04,62.52115
1475625600000,2016-10-05,65.92312
1475712000000,2016-10-06,71.22147
1475798400000,2016-10-07,80.81431
1476144000000,2016-10-11,68.45956
1476230400000,2016-10-12,62.30642
1476316800000,2016-10-13,73.28367
1476403200000,2016-10-14,77.06093
1476662400000,2016-10-17,78.04062
1476748800000,2016-10-18,81.36037
1476835200000,2016-10-19,85.19262
1476921600000,2016-10-20,87.27128
1477008000000,2016-10-21,87.70465
1477267200000,2016-10-24,79.42216
1477353600000,2016-10-25,79.1386
1477440000000,2016-10-26,80.53682
1477526400000,2016-10-27,82.0863
1477612800000,2016-10-28,75.93634
1477872000000,2016-10-31,74.15364
1477958400000,2016-11-01,76.88668
1478044800000,2016-11-02,66.94404
1478131200000,2016-11-03,62.27637
1478217600000,2016-11-04,65.047
1478476800000,2016-11-07,70.44794
1478563200000,2016-11-08,65.7153
1478649600000,2016-11-09,47.31898
1478736000000,2016-11-10,60.71262
1478822400000,2016-11-11,65.03648
1479081600000,2016-11-14,68.35765
1479168000000,2016-11-15,75.43288
1479254400000,2016-11-16,78.86001
1479340800000,2016-11-17,81.67387
1479427200000,2016-11-18,86.80219
1479686400000,2016-11-21,87.86813
1479772800000,2016-11-22,87.40758
1479859200000,2016-11-23,86.62993
1479945600000,2016-11-24,85.33949
1480032000000,2016-11-25,76.893
1480291200000,2016-11-28,84.59533
1480377600000,2016-11-29,86.09386
1480464000000,2016-11-30,78.8774
1480550400000,2016-12-01,73.32567
1480636800000,2016-12-02,77.03192
1480896000000,2016-12-05,79.50275
1480982400000,2016-12-06,82.76375
1481068800000,2016-12-07,83.15204
1481155200000,2016-12-08,81.84979
1481241600000,2016-12-09,75.02109
1481500800000,2016-12-12,66.68074
1481587200000,2016-12-13,55.85733
1481673600000,2016-12-14,44.25576
1481760000000,2016-12-15,33.77735
1481846400000,2016-12-16,23.96751
1482105600000,2016-12-19,20.0719
1482192000000,2016-12-20,21.56839
1482278400000,2016-12-21,25.49003
1482364800000,2016-12-22,26.29566
1482451200000,2016-12-23,20.86378
1482710400000,2016-12-26,22.68111
1482796800000,2016-12-27,26.23185
1482883200000,2016-12-28,25.26569
1482969600000,2016-12-29,24.41955
1483056000000,2016-12-30,37.49184
1483401600000,2017-01-03,40.14607
1483488000000,2017-01-04,40.40043
1483574400000,2017-01-05,39.89658
1483660800000,2017-01-06,54.04864
1483920000000,2017-01-09,49.75792
1484006400000,2017-01-10,48.8582
1484092800000,2017-01-11,51.32211
1484179200000,2017-01-12,61.99249
1484265600000,2017-01-13,69.10609
1484524800000,2017-01-16,47.11242
1484611200000,2017-01-17,47.59876
1484697600000,2017-01-18,49.82776
1484784000000,2017-01-19,46.55185
1484870400000,2017-01-20,49.66203
1485129600000,2017-01-23,55.65702
1485216000000,2017-01-24,55.73214
1485993600000,2017-02-02,68.36044
1486080000000,2017-02-03,78.90696
1486339200000,2017-02-06,84.51953
1486425600000,2017-02-07,83.33047
1486512000000,2017-02-08,83.33142
1486598400000,2017-02-09,79.13152
1486684800000,2017-02-10,77.14459
1486944000000,2017-02-13,81.51103
1487030400000,2017-02-14,80.91073
1487116800000,2017-02-15,80.75208
1487203200000,2017-02-16,58.00137
1487289600000,2017-02-17,44.72821
1487376000000,2017-02-18,32.8491
