timestamp,timestring,Close_D
1450656000000,2015-12-21,25.9
1450742400000,2015-12-22,25.9
1450828800000,2015-12-23,26.1
1450915200000,2015-12-24,26
1451001600000,2015-12-25,26.15
1451260800000,2015-12-28,26.7
1451347200000,2015-12-29,26.95
1451433600000,2015-12-30,27
1451520000000,2015-12-31,28.1
1452470400000,2016-01-11,27.7
1452643200000,2016-01-13,27.6
1452816000000,2016-01-15,27.9
1453248000000,2016-01-20,27.45
1453334400000,2016-01-21,27.4
1453766400000,2016-01-26,27.4
1454112000000,2016-01-30,27.1
1454284800000,2016-02-01,27
1455667200000,2016-02-17,26.9
1455753600000,2016-02-18,26.9
1456099200000,2016-02-22,27
1456272000000,2016-02-24,26.9
1456444800000,2016-02-26,26.85
1456963200000,2016-03-03,27
1457308800000,2016-03-07,26.95
1457568000000,2016-03-10,26.8
1457913600000,2016-03-14,26.75
1458259200000,2016-03-18,26.8
1458691200000,2016-03-23,25.5
1458777600000,2016-03-24,26.15
1459468800000,2016-04-01,26
1459987200000,2016-04-07,26.3
1460073600000,2016-04-08,26.05
1460419200000,2016-04-12,25.95
1461196800000,2016-04-21,25.35
1461283200000,2016-04-22,25.7
1461542400000,2016-04-25,25.8
1461628800000,2016-04-26,25.9
1461888000000,2016-04-29,25.5
1462233600000,2016-05-03,25.7
1462320000000,2016-05-04,25.8
1462752000000,2016-05-09,25.9
1463356800000,2016-05-16,26
1463443200000,2016-05-17,25.75
1463529600000,2016-05-18,25.85
1463702400000,2016-05-20,25.95
1463961600000,2016-05-23,25.85
1464134400000,2016-05-25,25.9
1464652800000,2016-05-31,25.7
1464825600000,2016-06-02,25.9
1464998400000,2016-06-04,25.75
1465257600000,2016-06-07,25.9
1465776000000,2016-06-13,25.85
1465948800000,2016-06-15,25.8
1466035200000,2016-06-16,25.85
1466380800000,2016-06-20,25.8
1467331200000,2016-07-01,25.45
1467590400000,2016-07-04,26.75
1467676800000,2016-07-05,26.65
1467849600000,2016-07-07,26.2
1468195200000,2016-07-11,25.55
1468281600000,2016-07-12,25.05
1468454400000,2016-07-14,25.7
1469577600000,2016-07-27,25.7
1469664000000,2016-07-28,25.7
1469750400000,2016-07-29,26
1470182400000,2016-08-03,25.7
1470355200000,2016-08-05,25.65
1470700800000,2016-08-09,25.7
1471910400000,2016-08-23,25
1471996800000,2016-08-24,24.8
1472083200000,2016-08-25,24.7
1472169600000,2016-08-26,25.5
1472601600000,2016-08-31,25.3
1473120000000,2016-09-06,25.8
1473292800000,2016-09-08,25.55
1474329600000,2016-09-20,23.1
1474416000000,2016-09-21,23.1
1474502400000,2016-09-22,24
1474588800000,2016-09-23,24.5
1475712000000,2016-10-06,24.7
1476144000000,2016-10-11,24.7
1476748800000,2016-10-18,24.6
1476921600000,2016-10-20,24.5
1477008000000,2016-10-21,24
1477267200000,2016-10-24,24
1477440000000,2016-10-26,24
1477526400000,2016-10-27,24
1477958400000,2016-11-01,24.2
1478217600000,2016-11-04,23.8
1478736000000,2016-11-10,24.4
1479168000000,2016-11-15,24.4
1479859200000,2016-11-23,24.5
1481068800000,2016-12-07,29.7
1481155200000,2016-12-08,27.35
1481500800000,2016-12-12,25
1481587200000,2016-12-13,26.75
1481673600000,2016-12-14,25.95
1481760000000,2016-12-15,25.5
1481846400000,2016-12-16,22.95
1482105600000,2016-12-19,22.5
1482192000000,2016-12-20,22.5
1482278400000,2016-12-21,22.5
1482364800000,2016-12-22,22.5
1482451200000,2016-12-23,23.3
1482883200000,2016-12-28,23
1482969600000,2016-12-29,23.3
1483056000000,2016-12-30,23.4
1483574400000,2017-01-05,23
1484092800000,2017-01-11,23
1484611200000,2017-01-17,22.95
1484697600000,2017-01-18,22.95
1484870400000,2017-01-20,23
1485216000000,2017-01-24,23.2
1485993600000,2017-02-02,23
1486339200000,2017-02-06,23
1486425600000,2017-02-07,22.5
1486512000000,2017-02-08,22.75
1486684800000,2017-02-10,22.9
1487203200000,2017-02-16,23.2
1487289600000,2017-02-17,23.35
1450396800000,2015-12-18,25.85
1450656000000,2015-12-21,25.9
1450742400000,2015-12-22,25.9
1450828800000,2015-12-23,26.1
1450915200000,2015-12-24,26
1451001600000,2015-12-25,26.15
1451260800000,2015-12-28,26.7
1451347200000,2015-12-29,26.95
1451433600000,2015-12-30,27
1451520000000,2015-12-31,28.1
1452470400000,2016-01-11,27.7
1452643200000,2016-01-13,27.6
1452816000000,2016-01-15,27.9
1453248000000,2016-01-20,27.45
1453334400000,2016-01-21,27.4
1453766400000,2016-01-26,27.4
1454112000000,2016-01-30,27.1
1454284800000,2016-02-01,27
1455667200000,2016-02-17,26.9
1455753600000,2016-02-18,26.9
1456099200000,2016-02-22,27
1456272000000,2016-02-24,26.9
1456444800000,2016-02-26,26.85
1456963200000,2016-03-03,27
1457308800000,2016-03-07,26.95
1457568000000,2016-03-10,26.8
1457913600000,2016-03-14,26.75
1458259200000,2016-03-18,26.8
1458691200000,2016-03-23,25.5
1458777600000,2016-03-24,26.15
1459468800000,2016-04-01,26
1459987200000,2016-04-07,26.3
1460073600000,2016-04-08,26.05
1460419200000,2016-04-12,25.95
1461196800000,2016-04-21,25.35
1461283200000,2016-04-22,25.7
1461542400000,2016-04-25,25.8
1461628800000,2016-04-26,25.9
1461888000000,2016-04-29,25.5
1462233600000,2016-05-03,25.7
1462320000000,2016-05-04,25.8
1462752000000,2016-05-09,25.9
1463356800000,2016-05-16,26
1463443200000,2016-05-17,25.75
1463529600000,2016-05-18,25.85
1463702400000,2016-05-20,25.95
1463961600000,2016-05-23,25.85
1464134400000,2016-05-25,25.9
1464652800000,2016-05-31,25.7
1464825600000,2016-06-02,25.9
1464998400000,2016-06-04,25.75
1465257600000,2016-06-07,25.9
1465776000000,2016-06-13,25.85
1465948800000,2016-06-15,25.8
1466035200000,2016-06-16,25.85
1466380800000,2016-06-20,25.8
1467331200000,2016-07-01,25.45
1467590400000,2016-07-04,26.75
1467676800000,2016-07-05,26.65
1467849600000,2016-07-07,26.2
1468195200000,2016-07-11,25.55
1468281600000,2016-07-12,25.05
1468454400000,2016-07-14,25.7
1469577600000,2016-07-27,25.7
1469664000000,2016-07-28,25.7
1469750400000,2016-07-29,26
1470182400000,2016-08-03,25.7
1470355200000,2016-08-05,25.65
1470700800000,2016-08-09,25.7
1471910400000,2016-08-23,25
1471996800000,2016-08-24,24.8
1472083200000,2016-08-25,24.7
1472169600000,2016-08-26,25.5
1472601600000,2016-08-31,25.3
1473120000000,2016-09-06,25.8
1473292800000,2016-09-08,25.55
1474329600000,2016-09-20,23.1
1474416000000,2016-09-21,23.1
1474502400000,2016-09-22,24
1474588800000,2016-09-23,24.5
