106年01月 1216統一            各日成交資訊(元，股)
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"106/01/03","2,757,435","146,961,901","53.40","53.60","53.20","53.30","-0.10","1,631",
"106/01/04","9,052,224","481,934,717","53.50","53.70","52.90","53.00","-0.30","3,126",
"106/01/05","14,307,988","764,470,392","53.00","54.10","52.90","54.10","+1.10","4,292",
"106/01/06","8,199,858","443,382,991","54.10","54.30","53.80","54.10"," 0.00","3,880",
"106/01/09","4,863,225","263,578,076","54.20","54.50","54.00","54.20","+0.10","2,372",
"106/01/10","6,374,658","342,581,032","54.00","54.10","53.30","53.70","-0.50","2,908",
"106/01/11","9,051,053","486,447,462","54.00","54.20","53.40","54.00","+0.30","4,107",
"106/01/12","8,620,672","468,788,140","54.10","54.60","54.00","54.40","+0.40","4,283",
"106/01/13","10,534,492","576,320,160","54.60","55.00","54.40","55.00","+0.60","4,798",
"106/01/16","7,849,967","427,500,301","54.80","54.80","54.10","54.50","-0.50","3,026",
"106/01/17","5,763,326","314,832,535","54.50","54.90","54.40","54.80","+0.30","2,591",
"106/01/18","7,793,969","422,494,698","54.80","54.80","54.00","54.00","-0.80","3,663",
"106/01/19","10,985,766","597,053,191","54.00","54.60","54.00","54.60","+0.60","2,496",
"106/01/20","6,231,459","338,830,742","54.60","54.60","54.10","54.30","-0.30","2,113",
"106/01/23","16,813,966","916,071,575","54.30","54.70","54.20","54.50","+0.20","4,551",
"106/01/24","17,824,014","962,395,499","54.30","54.50","53.50","53.50","-1.00","5,088",
