timestamp,timestring,Close_D
1405036800000,2014-07-11,16.8
1406160000000,2014-07-24,15.8
1406505600000,2014-07-28,15.8
1406678400000,2014-07-30,15
1407283200000,2014-08-06,16.05
1407369600000,2014-08-07,17.15
1407456000000,2014-08-08,18.35
1407801600000,2014-08-12,17.1
1407974400000,2014-08-14,18.25
1408924800000,2014-08-25,19.5
1410307200000,2014-09-10,18.15
1410480000000,2014-09-12,16.9
1410739200000,2014-09-15,16.9
1410825600000,2014-09-16,17
1410912000000,2014-09-17,17
1410998400000,2014-09-18,17
1411084800000,2014-09-19,18
1411430400000,2014-09-23,17.1
1411516800000,2014-09-24,17.2
1420502400000,2015-01-06,53.3
1420588800000,2015-01-07,52.9
1420675200000,2015-01-08,56.6
1420761600000,2015-01-09,60.5
1421020800000,2015-01-12,64.7
1421107200000,2015-01-13,63
1421193600000,2015-01-14,65
1423094400000,2015-02-05,55.8
1423526400000,2015-02-10,51.9
1428883200000,2015-04-13,55
1429056000000,2015-04-15,51.2
1429228800000,2015-04-17,47.65
1430092800000,2015-04-27,41.5
1430352000000,2015-04-30,39.5
1430784000000,2015-05-05,39.5
1430870400000,2015-05-06,39.5
1430956800000,2015-05-07,37.5
1431043200000,2015-05-08,36
1431388800000,2015-05-12,33
1431561600000,2015-05-14,31.7
1432252800000,2015-05-22,30.1
1432512000000,2015-05-25,28.6
1432598400000,2015-05-26,27.2
1432771200000,2015-05-28,24.5
1433462400000,2015-06-05,23.05
1433808000000,2015-06-09,23
1433894400000,2015-06-10,23
1434412800000,2015-06-16,23
1434585600000,2015-06-18,21.75
1434931200000,2015-06-22,20.05
1435017600000,2015-06-23,18.4
1435536000000,2015-06-29,22.8
1435622400000,2015-06-30,21.4
1435708800000,2015-07-01,19.9
1435881600000,2015-07-03,18.5
1436745600000,2015-07-13,24.55
1436832000000,2015-07-14,27
1437091200000,2015-07-17,29
1437696000000,2015-07-24,31.9
1447718400000,2015-11-17,31.9
1450224000000,2015-12-16,31.5
1450915200000,2015-12-24,28.5
1458864000000,2016-03-25,27.3
1479859200000,2016-11-23,27
1479945600000,2016-11-24,24.3
1480032000000,2016-11-25,23.5
1480291200000,2016-11-28,25.85
1480377600000,2016-11-29,28.4
1480464000000,2016-11-30,31.2
1480550400000,2016-12-01,34.3
1480636800000,2016-12-02,37.7
1480896000000,2016-12-05,41.45
1480982400000,2016-12-06,45.55
1481068800000,2016-12-07,44.3
1481155200000,2016-12-08,43.95
1481241600000,2016-12-09,42.45
1481500800000,2016-12-12,38.25
1481587200000,2016-12-13,42.05
1481673600000,2016-12-14,42.9
1481760000000,2016-12-15,42.05
1481846400000,2016-12-16,42.05
1482105600000,2016-12-19,42.05
1482192000000,2016-12-20,41.65
1482278400000,2016-12-21,40.7
1482364800000,2016-12-22,40.35
1482451200000,2016-12-23,39
1482710400000,2016-12-26,38.9
1482796800000,2016-12-27,35.05
1482883200000,2016-12-28,31.55
1482969600000,2016-12-29,31
1483056000000,2016-12-30,31.5
1483401600000,2017-01-03,31.6
1483488000000,2017-01-04,30.6
1483574400000,2017-01-05,30.55
1483660800000,2017-01-06,30.65
1483920000000,2017-01-09,29.3
1484006400000,2017-01-10,29.6
1484092800000,2017-01-11,28.35
1484179200000,2017-01-12,29.15
1484265600000,2017-01-13,29.45
1484524800000,2017-01-16,28.2
1484611200000,2017-01-17,28.6
1484697600000,2017-01-18,29.9
1484784000000,2017-01-19,29.2
1484870400000,2017-01-20,29.3
1485129600000,2017-01-23,28.85
1485216000000,2017-01-24,29
1485993600000,2017-02-02,31.75
1486080000000,2017-02-03,31.4
1486339200000,2017-02-06,31.45
1486425600000,2017-02-07,30.5
1486512000000,2017-02-08,29.95
1486598400000,2017-02-09,30.65
1486684800000,2017-02-10,30.8
1486944000000,2017-02-13,30.9
1487030400000,2017-02-14,30.85
1487116800000,2017-02-15,30.1
1487203200000,2017-02-16,31
1487289600000,2017-02-17,31.4
1487376000000,2017-02-18,30.8
1487548800000,2017-02-20,33.85
1404691200000,2014-07-07,17.6
1405036800000,2014-07-11,16.8
1406160000000,2014-07-24,15.8
1406505600000,2014-07-28,15.8
1406678400000,2014-07-30,15
1407283200000,2014-08-06,16.05
1407369600000,2014-08-07,17.15
1407456000000,2014-08-08,18.35
1407801600000,2014-08-12,17.1
1407974400000,2014-08-14,18.25
1408924800000,2014-08-25,19.5
1410307200000,2014-09-10,18.15
1410480000000,2014-09-12,16.9
1410739200000,2014-09-15,16.9
1410825600000,2014-09-16,17
1410912000000,2014-09-17,17
1410998400000,2014-09-18,17
1411084800000,2014-09-19,18
1411430400000,2014-09-23,17.1
1411516800000,2014-09-24,17.2
1420502400000,2015-01-06,53.3
1420588800000,2015-01-07,52.9
1420675200000,2015-01-08,56.6
1420761600000,2015-01-09,60.5
1421020800000,2015-01-12,64.7
1421107200000,2015-01-13,63
1421193600000,2015-01-14,65
1423094400000,2015-02-05,55.8
1423526400000,2015-02-10,51.9
1428883200000,2015-04-13,55
1429056000000,2015-04-15,51.2
1429228800000,2015-04-17,47.65
1430092800000,2015-04-27,41.5
1430352000000,2015-04-30,39.5
1430784000000,2015-05-05,39.5
1430870400000,2015-05-06,39.5
1430956800000,2015-05-07,37.5
1431043200000,2015-05-08,36
1431388800000,2015-05-12,33
1431561600000,2015-05-14,31.7
1432252800000,2015-05-22,30.1
1432512000000,2015-05-25,28.6
1432598400000,2015-05-26,27.2
1432771200000,2015-05-28,24.5
1433462400000,2015-06-05,23.05
1433808000000,2015-06-09,23
1433894400000,2015-06-10,23
1434412800000,2015-06-16,23
1434585600000,2015-06-18,21.75
1434931200000,2015-06-22,20.05
1435017600000,2015-06-23,18.4
1435536000000,2015-06-29,22.8
1435622400000,2015-06-30,21.4
1435708800000,2015-07-01,19.9
1435881600000,2015-07-03,18.5
1436745600000,2015-07-13,24.55
1436832000000,2015-07-14,27
1437091200000,2015-07-17,29
1437696000000,2015-07-24,31.9
1447718400000,2015-11-17,31.9
1450224000000,2015-12-16,31.5
1450915200000,2015-12-24,28.5
1458864000000,2016-03-25,27.3
1479859200000,2016-11-23,27
1479945600000,2016-11-24,24.3
1480032000000,2016-11-25,23.5
1480291200000,2016-11-28,25.85
1480377600000,2016-11-29,28.4
1480464000000,2016-11-30,31.2
1480550400000,2016-12-01,34.3
1480636800000,2016-12-02,37.7
1480896000000,2016-12-05,41.45
1480982400000,2016-12-06,45.55
1481068800000,2016-12-07,44.3
1481155200000,2016-12-08,43.95
1481241600000,2016-12-09,42.45
1481500800000,2016-12-12,38.25
1481587200000,2016-12-13,42.05
